"File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/ Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Statistical Area- Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Area","New England City and Town Combined Statistical Area","New England City and Town Area Division","Urban Area","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Public Use Microdata Area – 5% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Qualifying Name","FIPS","Area (Land)","Area (Water)","Place (State FIPS + Place FIPS)","Urban Area Central Place","Voting District","ZIP Code Tabulation Area (3-digit)","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 1% File","Total Population","Area Total:","Area Total: Area (Land)","Area Total: Area (Water)","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races"
Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_UACP,Geo_VTD,Geo_ZCTA3,Geo_TAZ,Geo_UGA,Geo_PUMA1,SE_A00001_001,SE_A00003_001,SE_A00003_002,SE_A00003_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008
"ACSSF","us","860","00","0013581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11374",,,,,,,,"86000US11374","ZCTA 11374",,,"ZCTA 11374","11311374","2442510","0",,,,"113",,,,43173,0.9430584,0.9430584,0,43173,21237,1882,38,14084,0,2424,3508
"ACSSF","us","860","00","0013582",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11375",,,,,,,,"86000US11375","ZCTA 11375",,,"ZCTA 11375","11311375","5152092","0",,,,"113",,,,72615,1.989234,1.989234,0,72615,42121,2363,106,20742,9,2689,4585
"ACSSF","us","860","00","0013583",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11377",,,,,,,,"86000US11377","ZCTA 11377",,,"ZCTA 11377","11311377","6569937","0",,,,"113",,,,82021,2.536667,2.536667,0,82021,35187,2457,207,30037,0,7512,6621
"ACSSF","us","860","00","0013584",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11378",,,,,,,,"86000US11378","ZCTA 11378",,,"ZCTA 11378","11311378","6674051","122157",,,,"113",,,,39033,2.624031,2.576866,0.04716508,39033,25460,597,94,4811,28,6076,1967
"ACSSF","us","860","00","0013585",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11379",,,,,,,,"86000US11379","ZCTA 11379",,,"ZCTA 11379","11311379","5373686","0",,,,"113",,,,37780,2.074792,2.074792,0,37780,28321,377,118,4356,0,3080,1528
"ACSSF","us","860","00","0013587",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11411",,,,,,,,"86000US11411","ZCTA 11411",,,"ZCTA 11411","11411411","3025168","0",,,,"114",,,,20473,1.168024,1.168024,0,20473,930,18631,14,81,0,427,390
"ACSSF","us","860","00","0013588",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11412",,,,,,,,"86000US11412","ZCTA 11412",,,"ZCTA 11412","11411412","4265900","0",,,,"114",,,,37987,1.647073,1.647073,0,37987,945,32799,391,920,89,1713,1130
"ACSSF","us","860","00","0013589",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11413",,,,,,,,"86000US11413","ZCTA 11413",,,"ZCTA 11413","11411413","8039785","61151",,,,"114",,,,41810,3.127789,3.104178,0.02361053,41810,940,37697,129,486,74,1546,938
"ACSSF","us","860","00","0013590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11414",,,,,,,,"86000US11414","ZCTA 11414",,,"ZCTA 11414","11411414","5988196","206511",,,,"114",,,,27672,2.39179,2.312056,0.07973435,27672,21506,1162,0,1420,0,1898,1686
"ACSSF","us","860","00","0013591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11415",,,,,,,,"86000US11415","ZCTA 11415",,,"ZCTA 11415","11411415","1465819","0",,,,"114",,,,18464,0.5659559,0.5659559,0,18464,11214,959,253,3087,6,1970,975
"ACSSF","us","860","00","0013592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11416",,,,,,,,"86000US11416","ZCTA 11416",,,"ZCTA 11416","11411416","1713841","0",,,,"114",,,,26087,0.6617177,0.6617177,0,26087,7070,1413,40,8348,13,6504,2699
"ACSSF","us","860","00","0013593",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11417",,,,,,,,"86000US11417","ZCTA 11417",,,"ZCTA 11417","11411417","2898408","0",,,,"114",,,,31156,1.119082,1.119082,0,31156,9768,2575,107,9558,3,6453,2692
"ACSSF","us","860","00","0013594",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11418",,,,,,,,"86000US11418","ZCTA 11418",,,"ZCTA 11418","11411418","4225703","0",,,,"114",,,,37666,1.631553,1.631553,0,37666,14804,3041,354,8817,0,7160,3490
"ACSSF","us","860","00","0013595",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11419",,,,,,,,"86000US11419","ZCTA 11419",,,"ZCTA 11419","11411419","2899292","0",,,,"114",,,,47955,1.119423,1.119423,0,47955,4066,6522,270,18425,44,14294,4334
"ACSSF","us","860","00","0013596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11420",,,,,,,,"86000US11420","ZCTA 11420",,,"ZCTA 11420","11411420","5380501","0",,,,"114",,,,47266,2.077423,2.077423,0,47266,6846,11976,743,14991,113,7766,4831
"ACSSF","us","860","00","0013597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11421",,,,,,,,"86000US11421","ZCTA 11421",,,"ZCTA 11421","11411421","3341502","0",,,,"114",,,,39654,1.290161,1.290161,0,39654,14031,2270,148,7715,0,9538,5952
"ACSSF","us","860","00","0013598",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11422",,,,,,,,"86000US11422","ZCTA 11422",,,"ZCTA 11422","11411422","5190975","119987",,,,"114",,,,32786,2.050574,2.004247,0.04632724,32786,2430,27518,111,809,0,953,965
"ACSSF","us","860","00","0013599",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11423",,,,,,,,"86000US11423","ZCTA 11423",,,"ZCTA 11423","11411423","3665705","0",,,,"114",,,,29532,1.415337,1.415337,0,29532,3767,11223,201,8812,0,4279,1250
"ACSSF","us","860","00","0013600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11424",,,,,,,,"86000US11424","ZCTA 11424",,,"ZCTA 11424","11411424","93143","0",,,,"114",,,,40,0.03596272,0.03596272,0,40,13,27,0,0,0,0,0
"ACSSF","us","860","00","0013601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11425",,,,,,,,"86000US11425","ZCTA 11425",,,"ZCTA 11425","11411425","87352","0",,,,"114",,,,0,0.0337268,0.0337268,0,0,0,0,0,0,0,0,0
"ACSSF","us","860","00","0013602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11426",,,,,,,,"86000US11426","ZCTA 11426",,,"ZCTA 11426","11411426","3501239","0",,,,"114",,,,20222,1.351836,1.351836,0,20222,6927,1219,77,8689,0,2117,1193
"ACSSF","us","860","00","0013603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11427",,,,,,,,"86000US11427","ZCTA 11427",,,"ZCTA 11427","11411427","4094801","0",,,,"114",,,,25096,1.581012,1.581012,0,25096,5949,5452,353,8329,0,3451,1562
"ACSSF","us","860","00","0013604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11428",,,,,,,,"86000US11428","ZCTA 11428",,,"ZCTA 11428","11411428","2154161","0",,,,"114",,,,19830,0.8317263,0.8317263,0,19830,3483,3888,71,5836,39,4678,1835
"ACSSF","us","860","00","0013605",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11429",,,,,,,,"86000US11429","ZCTA 11429",,,"ZCTA 11429","11411429","3351024","0",,,,"114",,,,27808,1.293838,1.293838,0,27808,1161,19879,226,1066,27,3845,1604
"ACSSF","us","860","00","0013606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11430",,,,,,,,"86000US11430","ZCTA 11430",,,"ZCTA 11430","11411430","18127150","364255",,,,"114",,,,220,7.139572,6.998932,0.1406396,220,51,146,0,8,0,15,0
"ACSSF","us","860","00","0013607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11432",,,,,,,,"86000US11432","ZCTA 11432",,,"ZCTA 11432","11411432","5566878","0",,,,"114",,,,64282,2.149384,2.149384,0,64282,11250,11532,398,27346,171,9319,4266
"ACSSF","us","860","00","0013608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11433",,,,,,,,"86000US11433","ZCTA 11433",,,"ZCTA 11433","11411433","4012831","0",,,,"114",,,,36929,1.549363,1.549363,0,36929,1845,22808,95,4755,8,5876,1542
"ACSSF","us","860","00","0013609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11434",,,,,,,,"86000US11434","ZCTA 11434",,,"ZCTA 11434","11411434","8465071","106288",,,,"114",,,,62590,3.30942,3.268382,0.04103803,62590,2657,52093,155,2057,0,3465,2163
"ACSSF","us","860","00","0013610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11435",,,,,,,,"86000US11435","ZCTA 11435",,,"ZCTA 11435","11411435","3958936","0",,,,"114",,,,59392,1.528554,1.528554,0,59392,10510,15490,325,13085,0,16936,3046
"ACSSF","us","860","00","0013611",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11436",,,,,,,,"86000US11436","ZCTA 11436",,,"ZCTA 11436","11411436","2054423","0",,,,"114",,,,18955,0.7932172,0.7932172,0,18955,921,11560,43,1691,0,3364,1376
