"FIPS","Area Name","Qualifying Name","State Postal Abbreviation","Summary Level","Geographic Component","File identification","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Geographic Identifier","Tribal Tract","Tribal Block Group","Area (Land)","Area (Water)","Total Population","Area Total:","Area Total: Area (Land)","Area Total: Area (Water)","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races"
Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,SE_A00001_001,SE_A00003_001,SE_A00003_002,SE_A00003_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008
"11111102","ZCTA5 11102","ZCTA5 11102","us","860","00","ACSSF","0013425",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111","11102",,,,,,,,,,,"86000US11102",,,"2042473","2387",29747,0.7895249,0.7886032,0.0009216259,29747,17887,2726,23,4746,13,3260,1092
"11111103","ZCTA5 11103","ZCTA5 11103","us","860","00","ACSSF","0013426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111","11103",,,,,,,,,,,"86000US11103",,,"1842767","0",35995,0.7114964,0.7114964,0,35995,25251,932,70,4992,40,3448,1262
"11111104","ZCTA5 11104","ZCTA5 11104","us","860","00","ACSSF","0013427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111","11104",,,,,,,,,,,"86000US11104",,,"1005110","0",25114,0.3880751,0.3880751,0,25114,15805,518,80,6087,0,1785,839
"11111105","ZCTA5 11105","ZCTA5 11105","us","860","00","ACSSF","0013428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111","11105",,,,,,,,,,,"86000US11105",,,"4356927","0",36983,1.682219,1.682219,0,36983,28467,930,27,4233,0,2056,1270
"11111106","ZCTA5 11106","ZCTA5 11106","us","860","00","ACSSF","0013429",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111","11106",,,,,,,,,,,"86000US11106",,,"2214067","14591",37690,0.8604897,0.8548561,0.005633617,37690,20103,2912,59,7938,8,4848,1822
"11111109","ZCTA5 11109","ZCTA5 11109","us","860","00","ACSSF","0013430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111","11109",,,,,,,,,,,"86000US11109",,,"128895","24260",5980,0.05913348,0.04976664,0.009366839,5980,3888,55,0,1815,0,34,188
"11211201","ZCTA5 11201","ZCTA5 11201","us","860","00","ACSSF","0013431",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11201",,,,,,,,,,,"86000US11201",,,"3644692","39281",63378,1.42239,1.407223,0.01516648,63378,40722,8367,201,7851,49,2505,3683
"11211203","ZCTA5 11203","ZCTA5 11203","us","860","00","ACSSF","0013432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11203",,,,,,,,,,,"86000US11203",,,"5555600","0",76085,2.145029,2.145029,0,76085,3364,67699,147,1390,0,2233,1252
"11211204","ZCTA5 11204","ZCTA5 11204","us","860","00","ACSSF","0013433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11204",,,,,,,,,,,"86000US11204",,,"4113158","0",76395,1.588099,1.588099,0,76395,43354,954,229,25181,10,5069,1598
"11211205","ZCTA5 11205","ZCTA5 11205","us","860","00","ACSSF","0013434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11205",,,,,,,,,,,"86000US11205",,,"2447361","0",46843,0.9449314,0.9449314,0,46843,24069,14522,286,2966,4,3144,1852
"11211206","ZCTA5 11206","ZCTA5 11206","us","860","00","ACSSF","0013435",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11206",,,,,,,,,,,"86000US11206",,,"3715220","0",88422,1.434455,1.434455,0,88422,41063,21797,525,5966,125,15424,3522
"11211207","ZCTA5 11207","ZCTA5 11207","us","860","00","ACSSF","0013436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11207",,,,,,,,,,,"86000US11207",,,"6920390","0",91083,2.671978,2.671978,0,91083,13754,59435,220,1630,69,13831,2144
"11211208","ZCTA5 11208","ZCTA5 11208","us","860","00","ACSSF","0013437",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11208",,,,,,,,,,,"86000US11208",,,"9265807","0",101313,3.577548,3.577548,0,101313,27587,54461,210,6087,65,10791,2112
"11211209","ZCTA5 11209","ZCTA5 11209","us","860","00","ACSSF","0013438",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11209",,,,,,,,,,,"86000US11209",,,"5496341","0",67782,2.122149,2.122149,0,67782,49657,2150,220,8984,63,3974,2734
"11211210","ZCTA5 11210","ZCTA5 11210","us","860","00","ACSSF","0013439",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11210",,,,,,,,,,,"86000US11210",,,"4251899","0",64665,1.641667,1.641667,0,64665,20472,37938,59,2625,0,2434,1137
"11211211","ZCTA5 11211","ZCTA5 11211","us","860","00","ACSSF","0013440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11211",,,,,,,,,,,"86000US11211",,,"5988788","163645",103123,2.375468,2.312284,0.06318369,103123,77250,6663,554,5762,22,9329,3543
"11211212","ZCTA5 11212","ZCTA5 11212","us","860","00","ACSSF","0013441",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11212",,,,,,,,,,,"86000US11212",,,"3985437","0",75605,1.538786,1.538786,0,75605,6384,60356,69,845,43,5543,2365
"11211213","ZCTA5 11213","ZCTA5 11213","us","860","00","ACSSF","0013442",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11213",,,,,,,,,,,"86000US11213",,,"2824124","0",67056,1.0904,1.0904,0,67056,16302,43727,147,1552,14,3084,2230
"11211214","ZCTA5 11214","ZCTA5 11214","us","860","00","ACSSF","0013443",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11214",,,,,,,,,,,"86000US11214",,,"5617496","8509",92644,2.172213,2.168927,0.003285343,92644,44420,1828,255,34282,5,9006,2848
"11211215","ZCTA5 11215","ZCTA5 11215","us","860","00","ACSSF","0013444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11215",,,,,,,,,,,"86000US11215",,,"5633118","58928",69873,2.197711,2.174959,0.02275223,69873,53997,3213,111,5680,0,3004,3868
"11211216","ZCTA5 11216","ZCTA5 11216","us","860","00","ACSSF","0013445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11216",,,,,,,,,,,"86000US11216",,,"2421197","0",57786,0.9348294,0.9348294,0,57786,18064,31201,159,3063,14,2512,2773
"11211217","ZCTA5 11217","ZCTA5 11217","us","860","00","ACSSF","0013446",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11217",,,,,,,,,,,"86000US11217",,,"1942445","8496",41813,0.7532626,0.7499822,0.003280324,41813,24274,8507,33,3510,18,3422,2049
"11211218","ZCTA5 11218","ZCTA5 11218","us","860","00","ACSSF","0013447",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11218",,,,,,,,,,,"86000US11218",,,"3699695","0",72413,1.42846,1.42846,0,72413,43898,5711,420,13509,0,5610,3265
"11211219","ZCTA5 11219","ZCTA5 11219","us","860","00","ACSSF","0013448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11219",,,,,,,,,,,"86000US11219",,,"3838517","0",89371,1.48206,1.48206,0,89371,59594,1062,295,21241,18,6297,864
"11211220","ZCTA5 11220","ZCTA5 11220","us","860","00","ACSSF","0013449",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11220",,,,,,,,,,,"86000US11220",,,"4519576","0",93170,1.745018,1.745018,0,93170,29003,2617,423,38601,0,19766,2760
"11211221","ZCTA5 11221","ZCTA5 11221","us","860","00","ACSSF","0013450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11221",,,,,,,,,,,"86000US11221",,,"3582803","0",83322,1.383328,1.383328,0,83322,23074,39114,497,2901,20,14511,3205
"11211222","ZCTA5 11222","ZCTA5 11222","us","860","00","ACSSF","0013451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11222",,,,,,,,,,,"86000US11222",,,"3974683","194195",36872,1.609613,1.534634,0.07497911,36872,30425,1320,69,1619,0,1698,1741
"11211223","ZCTA5 11223","ZCTA5 11223","us","860","00","ACSSF","0013452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11223",,,,,,,,,,,"86000US11223",,,"5370771","0",81388,2.073666,2.073666,0,81388,46254,3802,297,20466,166,7652,2751
"11211224","ZCTA5 11224","ZCTA5 11224","us","860","00","ACSSF","0013453",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11224",,,,,,,,,,,"86000US11224",,,"4107702","78749",45795,1.616398,1.585993,0.03040516,45795,26249,10133,72,3423,6,4495,1417
"11211225","ZCTA5 11225","ZCTA5 11225","us","860","00","ACSSF","0013454",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11225",,,,,,,,,,,"86000US11225",,,"2289259","0",56859,0.8838879,0.8838879,0,56859,16198,34633,132,1612,0,2423,1861
"11211226","ZCTA5 11226","ZCTA5 11226","us","860","00","ACSSF","0013455",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11226",,,,,,,,,,,"86000US11226",,,"3339497","0",99558,1.289387,1.289387,0,99558,15922,67681,296,3072,0,10353,2234
"11211228","ZCTA5 11228","ZCTA5 11228","us","860","00","ACSSF","0013456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11228",,,,,,,,,,,"86000US11228",,,"3813708","0",44348,1.472481,1.472481,0,44348,23867,572,69,16617,36,2147,1040
"11211229","ZCTA5 11229","ZCTA5 11229","us","860","00","ACSSF","0013457",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11229",,,,,,,,,,,"86000US11229",,,"5592659","143662",83119,2.214806,2.159338,0.05546821,83119,53002,5100,209,19113,43,3259,2393
"11211230","ZCTA5 11230","ZCTA5 11230","us","860","00","ACSSF","0013458",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11230",,,,,,,,,,,"86000US11230",,,"4767216","0",86139,1.840632,1.840632,0,86139,61252,6413,339,11468,27,4050,2590
"11211231","ZCTA5 11231","ZCTA5 11231","us","860","00","ACSSF","0013459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11231",,,,,,,,,,,"86000US11231",,,"3681946","66967",37874,1.447464,1.421607,0.0258561,37874,25113,5796,215,2223,303,2304,1920
"11211232","ZCTA5 11232","ZCTA5 11232","us","860","00","ACSSF","0013460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11232",,,,,,,,,,,"86000US11232",,,"3084817","234",26430,1.191145,1.191055,9.034791E-05,26430,11848,1901,391,4907,18,6195,1170
"11211233","ZCTA5 11233","ZCTA5 11233","us","860","00","ACSSF","0013461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11233",,,,,,,,,,,"86000US11233",,,"3493431","0",79439,1.348821,1.348821,0,79439,8700,61160,89,1538,17,6161,1774
"11211234","ZCTA5 11234","ZCTA5 11234","us","860","00","ACSSF","0013462",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11234",,,,,,,,,,,"86000US11234",,,"19191735","2139260",93534,8.235944,7.409971,0.8259729,93534,38573,42348,293,6783,0,4004,1533
"11211235","ZCTA5 11235","ZCTA5 11235","us","860","00","ACSSF","0013463",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11235",,,,,,,,,,,"86000US11235",,,"5812668","495753",78775,2.435695,2.244284,0.1914113,78775,59438,1713,76,10771,0,3857,2920
"11211236","ZCTA5 11236","ZCTA5 11236","us","860","00","ACSSF","0013464",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11236",,,,,,,,,,,"86000US11236",,,"9321422","89767",100844,3.633681,3.599021,0.03465923,100844,5775,86706,118,2713,11,4102,1419
"11211237","ZCTA5 11237","ZCTA5 11237","us","860","00","ACSSF","0013465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11237",,,,,,,,,,,"86000US11237",,,"2547925","46803",48876,1.00183,0.9837594,0.01807074,48876,18175,6757,583,3343,47,18071,1900
"11211238","ZCTA5 11238","ZCTA5 11238","us","860","00","ACSSF","0013466",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11238",,,,,,,,,,,"86000US11238",,,"2865959","0",55210,1.106553,1.106553,0,55210,27542,18830,40,3299,19,2317,3163
"11211239","ZCTA5 11239","ZCTA5 11239","us","860","00","ACSSF","0013467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","11239",,,,,,,,,,,"86000US11239",,,"1598723","27109",12772,0.6277373,0.6172704,0.01046684,12772,3791,7496,256,488,0,585,156
"11611691","ZCTA5 11691","ZCTA5 11691","us","860","00","ACSSF","0013561",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116","11691",,,,,,,,,,,"86000US11691",,,"7129836","114576",68543,2.797083,2.752845,0.04423804,68543,25352,32175,182,2274,38,6460,2062
"11611692","ZCTA5 11692","ZCTA5 11692","us","860","00","ACSSF","0013562",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116","11692",,,,,,,,,,,"86000US11692",,,"2596629","226794",22074,1.09013,1.002564,0.08756565,22074,4919,13205,180,1167,0,2130,473
"11611693","ZCTA5 11693","ZCTA5 11693","us","860","00","ACSSF","0013563",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116","11693",,,,,,,,,,,"86000US11693",,,"2553905","0",12944,0.9860682,0.9860682,0,12944,7931,2828,0,571,0,972,642
"11611694","ZCTA5 11694","ZCTA5 11694","us","860","00","ACSSF","0013564",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116","11694",,,,,,,,,,,"86000US11694",,,"3460879","1189",21202,1.336712,1.336253,0.0004590755,21202,17397,1389,217,620,0,1338,241
"11611697","ZCTA5 11697","ZCTA5 11697","us","860","00","ACSSF","0013565",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116","11697",,,,,,,,,,,"86000US11697",,,"6722312","16405",3674,2.601833,2.595499,0.006334006,3674,3490,23,0,24,0,137,0
"10010005","ZCTA5 10005","ZCTA5 10005","us","860","00","ACSSF","0013168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10005",,,,,,,,,,,"86000US10005",,,"188254","0",8701,0.07268528,0.07268528,0,8701,6532,94,0,1543,0,217,315
"10010006","ZCTA5 10006","ZCTA5 10006","us","860","00","ACSSF","0013169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10006",,,,,,,,,,,"86000US10006",,,"241687","0",3092,0.09331588,0.09331588,0,3092,2272,99,0,496,0,73,152
"10010007","ZCTA5 10007","ZCTA5 10007","us","860","00","ACSSF","0013170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10007",,,,,,,,,,,"86000US10007",,,"413125","0",7408,0.1595085,0.1595085,0,7408,5762,610,0,777,0,106,153
"10010009","ZCTA5 10009","ZCTA5 10009","us","860","00","ACSSF","0013171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10009",,,,,,,,,,,"86000US10009",,,"1597617","0",58293,0.6168434,0.6168434,0,58293,35918,5027,70,8287,12,6739,2240
"10010010","ZCTA5 10010","ZCTA5 10010","us","860","00","ACSSF","0013172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10010",,,,,,,,,,,"86000US10010",,,"988475","0",35906,0.3816524,0.3816524,0,35906,24991,3367,0,5903,0,681,964
"10010011","ZCTA5 10011","ZCTA5 10011","us","860","00","ACSSF","0013173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10011",,,,,,,,,,,"86000US10011",,,"1714087","0",49949,0.6618127,0.6618127,0,49949,40234,2216,73,4387,5,1433,1601
"10010012","ZCTA5 10012","ZCTA5 10012","us","860","00","ACSSF","0013174",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10012",,,,,,,,,,,"86000US10012",,,"837302","0",23318,0.3232841,0.3232841,0,23318,17168,625,0,4249,0,471,805
"10010013","ZCTA5 10013","ZCTA5 10013","us","860","00","ACSSF","0013175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10013",,,,,,,,,,,"86000US10013",,,"1425087","0",28799,0.5502292,0.5502292,0,28799,16716,1097,91,9049,0,748,1098
"10010014","ZCTA5 10014","ZCTA5 10014","us","860","00","ACSSF","0013176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10014",,,,,,,,,,,"86000US10014",,,"1423747","40192",30344,0.56523,0.5497118,0.01551822,30344,26983,423,0,1464,0,300,1174
"10010016","ZCTA5 10016","ZCTA5 10016","us","860","00","ACSSF","0013177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10016",,,,,,,,,,,"86000US10016",,,"1378167","0",52886,0.5321133,0.5321133,0,52886,38010,2035,126,10743,25,619,1328
"10010017","ZCTA5 10017","ZCTA5 10017","us","860","00","ACSSF","0013178",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10017",,,,,,,,,,,"86000US10017",,,"820953","0",15846,0.3169717,0.3169717,0,15846,11765,314,0,3373,0,153,241
"10010018","ZCTA5 10018","ZCTA5 10018","us","860","00","ACSSF","0013179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10018",,,,,,,,,,,"86000US10018",,,"836255","0",8806,0.3228799,0.3228799,0,8806,5242,462,17,2461,0,299,325
"10010019","ZCTA5 10019","ZCTA5 10019","us","860","00","ACSSF","0013180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10019",,,,,,,,,,,"86000US10019",,,"1804718","0",45498,0.6968055,0.6968055,0,45498,30408,2738,362,8695,46,1753,1496
"10010020","ZCTA5 10020","ZCTA5 10020","us","860","00","ACSSF","0013181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10020",,,,,,,,,,,"86000US10020",,,"71567","0",0,0.02763218,0.02763218,0,0,0,0,0,0,0,0,0
"10010021","ZCTA5 10021","ZCTA5 10021","us","860","00","ACSSF","0013182",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10021",,,,,,,,,,,"86000US10021",,,"986790","0",44280,0.3810018,0.3810018,0,44280,37414,294,168,3802,92,1356,1154
"10010022","ZCTA5 10022","ZCTA5 10022","us","860","00","ACSSF","0013183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10022",,,,,,,,,,,"86000US10022",,,"1107168","0",31130,0.42748,0.42748,0,31130,25922,469,77,3752,0,232,678
"10010023","ZCTA5 10023","ZCTA5 10023","us","860","00","ACSSF","0013184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10023",,,,,,,,,,,"86000US10023",,,"1269195","0",62541,0.490039,0.490039,0,62541,49293,2909,67,6543,0,2310,1419
"10010024","ZCTA5 10024","ZCTA5 10024","us","860","00","ACSSF","0013185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10024",,,,,,,,,,,"86000US10024",,,"2222642","0",58102,0.8581669,0.8581669,0,58102,47847,2452,176,4622,0,1547,1458
"10010025","ZCTA5 10025","ZCTA5 10025","us","860","00","ACSSF","0013186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10025",,,,,,,,,,,"86000US10025",,,"1946733","0",92251,0.7516378,0.7516378,0,92251,61064,10669,85,8936,13,7430,4054
"10010026","ZCTA5 10026","ZCTA5 10026","us","860","00","ACSSF","0013187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10026",,,,,,,,,,,"86000US10026",,,"860743","0",38585,0.3323348,0.3323348,0,38585,10813,19771,74,2424,34,3612,1857
"10010027","ZCTA5 10027","ZCTA5 10027","us","860","00","ACSSF","0013188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10027",,,,,,,,,,,"86000US10027",,,"2250650","1032",64988,0.8693793,0.8689809,0.0003984575,64988,20745,24515,397,6150,5,9954,3222
"10010028","ZCTA5 10028","ZCTA5 10028","us","860","00","ACSSF","0013189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10028",,,,,,,,,,,"86000US10028",,,"811365","0",46768,0.3132698,0.3132698,0,46768,40185,715,0,4591,0,450,827
"10010029","ZCTA5 10029","ZCTA5 10029","us","860","00","ACSSF","0013190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10029",,,,,,,,,,,"86000US10029",,,"2102364","0",76713,0.8117273,0.8117273,0,76713,26750,25098,489,7060,110,14685,2521
"10010030","ZCTA5 10030","ZCTA5 10030","us","860","00","ACSSF","0013191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10030",,,,,,,,,,,"86000US10030",,,"722535","0",31060,0.2789723,0.2789723,0,31060,5093,19309,29,705,101,4061,1762
"10010031","ZCTA5 10031","ZCTA5 10031","us","860","00","ACSSF","0013192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10031",,,,,,,,,,,"86000US10031",,,"1681546","0",59586,0.6492485,0.6492485,0,59586,18726,16699,272,2488,60,11678,9663
"10010032","ZCTA5 10032","ZCTA5 10032","us","860","00","ACSSF","0013193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10032",,,,,,,,,,,"86000US10032",,,"1695753","0",63214,0.6547339,0.6547339,0,63214,18365,12081,454,2894,92,22944,6384
"10010033","ZCTA5 10033","ZCTA5 10033","us","860","00","ACSSF","0013194",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10033",,,,,,,,,,,"86000US10033",,,"1544119","0",58349,0.5961877,0.5961877,0,58349,23981,6036,674,1361,0,20899,5398
"10010034","ZCTA5 10034","ZCTA5 10034","us","860","00","ACSSF","0013195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10034",,,,,,,,,,,"86000US10034",,,"2823927","11193",42399,1.094646,1.090324,0.004321642,42399,16732,5899,92,1238,104,16052,2282
"10010035","ZCTA5 10035","ZCTA5 10035","us","860","00","ACSSF","0013196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10035",,,,,,,,,,,"86000US10035",,,"3689136","0",36048,1.424383,1.424383,0,36048,7552,14481,196,1504,25,10827,1463
"10010036","ZCTA5 10036","ZCTA5 10036","us","860","00","ACSSF","0013197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10036",,,,,,,,,,,"86000US10036",,,"1137632","0",28487,0.4392422,0.4392422,0,28487,18084,2179,159,5208,13,1872,972
"10010037","ZCTA5 10037","ZCTA5 10037","us","860","00","ACSSF","0013198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10037",,,,,,,,,,,"86000US10037",,,"666603","0",20462,0.2573769,0.2573769,0,20462,2083,14573,68,571,8,2178,981
"10010038","ZCTA5 10038","ZCTA5 10038","us","860","00","ACSSF","0013199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10038",,,,,,,,,,,"86000US10038",,,"773837","0",23311,0.2987801,0.2987801,0,23311,12375,2174,59,6940,0,597,1166
"10010039","ZCTA5 10039","ZCTA5 10039","us","860","00","ACSSF","0013200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10039",,,,,,,,,,,"86000US10039",,,"1132696","0",27854,0.4373364,0.4373364,0,27854,3949,17411,123,443,10,4329,1589
"10010040","ZCTA5 10040","ZCTA5 10040","us","860","00","ACSSF","0013201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10040",,,,,,,,,,,"86000US10040",,,"988490","0",44800,0.3816581,0.3816581,0,44800,16490,4414,392,1336,0,19036,3132
"10010044","ZCTA5 10044","ZCTA5 10044","us","860","00","ACSSF","0013202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100","10044",,,,,,,,,,,"86000US10044",,,"595885","0",12440,0.2300725,0.2300725,0,12440,5341,1567,0,4264,0,574,694
"10110128","ZCTA5 10128","ZCTA5 10128","us","860","00","ACSSF","0013212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"101","10128",,,,,,,,,,,"86000US10128",,,"1206191","0",58636,0.465713,0.465713,0,58636,46471,2090,24,5810,0,1852,2389
"10210280","ZCTA5 10280","ZCTA5 10280","us","860","00","ACSSF","0013231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102","10280",,,,,,,,,,,"86000US10280",,,"297253","38409",9496,0.1295998,0.11477,0.0148298,9496,7136,254,93,1570,0,8,435
"11011004","ZCTA5 11004","ZCTA5 11004","us","860","00","ACSSF","0013412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110","11004",,,,,,,,,,,"86000US11004",,,"2459128","0",15098,0.9494747,0.9494747,0,15098,6191,928,76,6510,51,636,706
"11011005","ZCTA5 11005","ZCTA5 11005","us","860","00","ACSSF","0013413",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110","11005",,,,,,,,,,,"86000US11005",,,"475148","0",1759,0.1834557,0.1834557,0,1759,1717,0,0,42,0,0,0
