"County","meanPM25"
"Bronx",24.7195622435021
"Erie",27.2086124401914
"Essex",13.7142857142857
"Kings",22.6290550070522
"Monroe",26.5965417867435
"Nassau",22.6149584487535
"New York",28.6850998463902
"Oneida",19.0573065902579
"Orange",23.2409972299169
"Queens",25.5329768270945
"Richmond",24.3343558282209
"Rockland",20.6267409470752
"Suffolk",22.0235294117647
"Westchester",20.5214899713467
